"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","712","Allow navigation to non secured contact path without login","parallel","Wed Jan 28 22:19:39 UTC 2026","passed","Wed Jan 28 22:19:40 UTC 2026","Navigation Functionality","e2e/auth-navigation.spec.ts","",""
"","1068","Navigation to secured chat page without login","parallel","Wed Jan 28 22:19:40 UTC 2026","passed","Wed Jan 28 22:19:41 UTC 2026","Navigation Functionality","e2e/auth-navigation.spec.ts","",""
"","2943","@Login @Negative Invalid format and credentials","parallel","Wed Jan 28 22:20:29 UTC 2026","passed","Wed Jan 28 22:20:32 UTC 2026","Login Functionality","e2e/login-validations.spec.ts","",""
"","4044","@Login @HappyPath Successful login for shoham@gmail.com","parallel","Wed Jan 28 22:20:10 UTC 2026","passed","Wed Jan 28 22:20:14 UTC 2026","Login Functionality","e2e/login-validations.spec.ts","",""
"","787","Allow navigation to non secured about path without login","parallel","Wed Jan 28 22:19:38 UTC 2026","passed","Wed Jan 28 22:19:39 UTC 2026","Navigation Functionality","e2e/auth-navigation.spec.ts","",""
"","7698","Clean room history","parallel","Wed Jan 28 22:19:48 UTC 2026","passed","Wed Jan 28 22:19:55 UTC 2026","Checking conversation actions done by the dropdown","e2e/conversation-actions.spec.ts","",""
"","741","Navigation to secured chat page with fake token","parallel","Wed Jan 28 22:19:42 UTC 2026","passed","Wed Jan 28 22:19:42 UTC 2026","Navigation Functionality","e2e/auth-navigation.spec.ts","",""
"","15788","@Offline mode - Existing message should queue for deletion while offline","offline","Wed Jan 28 22:21:29 UTC 2026","passed","Wed Jan 28 22:21:44 UTC 2026","Offline Mode - Separated Scenarios","e2e/offline-mode-edge-cases.spec.ts","",""
"","4121","@Offline mode - @Navigate to chat page","offline","Wed Jan 28 22:21:02 UTC 2026","passed","Wed Jan 28 22:21:06 UTC 2026","Offline Mode - Separated Scenarios","e2e/offline-mode-edge-cases.spec.ts","",""
"","3182","Start a group chat","parallel","Wed Jan 28 22:20:07 UTC 2026","passed","Wed Jan 28 22:20:10 UTC 2026","Checking conversation actions done by conversation bar","e2e/conversation-actions.spec.ts","",""
"","10674","Sending - Recieving - Deleting messages flow","chat-serial","Wed Jan 28 22:22:21 UTC 2026","passed","Wed Jan 28 22:22:32 UTC 2026","Chat Messages Functionality","e2e/chat-messages.spec.ts","",""
"","8208","Delete conversation","parallel","Wed Jan 28 22:19:55 UTC 2026","passed","Wed Jan 28 22:20:04 UTC 2026","Checking conversation actions done by the dropdown","e2e/conversation-actions.spec.ts","",""
"","1684","Navigate back from non exist path by go back button","parallel","Wed Jan 28 22:19:43 UTC 2026","passed","Wed Jan 28 22:19:45 UTC 2026","Navigation Functionality","e2e/auth-navigation.spec.ts","",""
"","3935","@Login @HappyPath Successful login for skgladiator4@gmail.com","parallel","Wed Jan 28 22:20:19 UTC 2026","passed","Wed Jan 28 22:20:23 UTC 2026","Login Functionality","e2e/login-validations.spec.ts","",""
"","3618","@Offline mode - @Navigate to locations page","offline","Wed Jan 28 22:21:06 UTC 2026","passed","Wed Jan 28 22:21:10 UTC 2026","Offline Mode - Separated Scenarios","e2e/offline-mode-edge-cases.spec.ts","",""
"","8559","Online users indicator test","parallel","Wed Jan 28 22:20:53 UTC 2026","passed","Wed Jan 28 22:21:01 UTC 2026","Presence Functionality","e2e/presence.spec.ts","",""
"","13316","@Notifications received while not online","chat-serial","Wed Jan 28 22:22:55 UTC 2026","passed","Wed Jan 28 22:23:08 UTC 2026","Chat Notifications Functionality > Offline notification test","e2e/chat-notifications.spec.ts","",""
"","1001","Navigation to non exist path","parallel","Wed Jan 28 22:19:42 UTC 2026","passed","Wed Jan 28 22:19:43 UTC 2026","Navigation Functionality","e2e/auth-navigation.spec.ts","",""
"","6052","@Offline mode - Message should queue and send when back online","offline","Wed Jan 28 22:21:10 UTC 2026","passed","Wed Jan 28 22:21:16 UTC 2026","Offline Mode - Separated Scenarios","e2e/offline-mode-edge-cases.spec.ts","",""
"","3505","Forgot My Password - Fake account - Mimic code sending","parallel","Wed Jan 28 22:20:38 UTC 2026","passed","Wed Jan 28 22:20:42 UTC 2026","OTP processes - Forgot Password Functionality","e2e/otp-processes.spec.ts","",""
"","4787","setup - skgladiator5@gmail.com","setup","Wed Jan 28 22:19:23 UTC 2026","passed","Wed Jan 28 22:19:28 UTC 2026","Login Functionality","utils/global.setup.ts","",""
"","4962","Navigation and Logout Flow","parallel","Wed Jan 28 22:19:29 UTC 2026","passed","Wed Jan 28 22:19:33 UTC 2026","Navigation Functionality > Navigation tests reqiered login","e2e/auth-navigation.spec.ts","",""
"","4375","Forgot My Password - Wrong Code","parallel","Wed Jan 28 22:20:42 UTC 2026","passed","Wed Jan 28 22:20:46 UTC 2026","OTP processes - Forgot Password Functionality","e2e/otp-processes.spec.ts","",""
"","11799","setup - shoham@gmail.com","setup","Wed Jan 28 22:18:59 UTC 2026","passed","Wed Jan 28 22:19:11 UTC 2026","Login Functionality","utils/global.setup.ts","",""
