"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","940","Navigation to secured locations page without login","parallel","Wed Jan 28 21:24:58 UTC 2026","passed","Wed Jan 28 21:24:59 UTC 2026","Navigation Functionality","e2e/auth-navigation.spec.ts","",""
"","4008","@Login @HappyPath Successful login for shoham@gmail.com","parallel","Wed Jan 28 21:25:26 UTC 2026","passed","Wed Jan 28 21:25:30 UTC 2026","Login Functionality","e2e/login-validations.spec.ts","",""
"","6378","@Offline mode - Conversation should dissapear when deleting it while offline","offline","Wed Jan 28 21:27:11 UTC 2026","passed","Wed Jan 28 21:27:17 UTC 2026","Offline Mode - Separated Scenarios > Conversation delete","e2e/offline-mode-edge-cases.spec.ts","",""
"","4299","Navigate back from non exist path by back to chat button","parallel","Wed Jan 28 21:24:51 UTC 2026","passed","Wed Jan 28 21:24:56 UTC 2026","Navigation Functionality > Navigation tests reqiered login","e2e/auth-navigation.spec.ts","",""
"","4724","@Offline mode - Message should queue and send when back online","offline","Wed Jan 28 21:26:23 UTC 2026","passed","Wed Jan 28 21:26:28 UTC 2026","Offline Mode - Separated Scenarios","e2e/offline-mode-edge-cases.spec.ts","",""
"","2932","Start single participant chat","parallel","Wed Jan 28 21:25:20 UTC 2026","passed","Wed Jan 28 21:25:23 UTC 2026","Checking conversation actions done by conversation bar","e2e/conversation-actions.spec.ts","",""
"","4054","@Login @HappyPath Successful login for skgladiator4@gmail.com","parallel","Wed Jan 28 21:25:35 UTC 2026","passed","Wed Jan 28 21:25:39 UTC 2026","Login Functionality","e2e/login-validations.spec.ts","",""
"","3042","@Login @Negative Invalid format and credentials","parallel","Wed Jan 28 21:25:44 UTC 2026","passed","Wed Jan 28 21:25:47 UTC 2026","Login Functionality","e2e/login-validations.spec.ts","",""
"","3819","@Login @HappyPath Successful login for skgladiator5@gmail.com","parallel","Wed Jan 28 21:25:39 UTC 2026","passed","Wed Jan 28 21:25:43 UTC 2026","Login Functionality","e2e/login-validations.spec.ts","",""
"","4367","@Login @HappyPath Successful login for skgladiator3@gmail.com","parallel","Wed Jan 28 21:25:31 UTC 2026","passed","Wed Jan 28 21:25:35 UTC 2026","Login Functionality","e2e/login-validations.spec.ts","",""
"","707","Allow navigation to non secured contact path without login","parallel","Wed Jan 28 21:24:56 UTC 2026","passed","Wed Jan 28 21:24:57 UTC 2026","Navigation Functionality","e2e/auth-navigation.spec.ts","",""
"","4935","Navigation and Logout Flow","parallel","Wed Jan 28 21:24:46 UTC 2026","passed","Wed Jan 28 21:24:51 UTC 2026","Navigation Functionality > Navigation tests reqiered login","e2e/auth-navigation.spec.ts","",""
"","2455","Leaving room successfuly","parallel","Wed Jan 28 21:25:02 UTC 2026","passed","Wed Jan 28 21:25:05 UTC 2026","Checking conversation actions done by the dropdown","e2e/conversation-actions.spec.ts","",""
"","5032","setup - skgladiator4@gmail.com","setup","Wed Jan 28 21:24:36 UTC 2026","passed","Wed Jan 28 21:24:41 UTC 2026","Login Functionality","utils/global.setup.ts","",""
"","983","Navigate back from non exist path by go back button","parallel","Wed Jan 28 21:25:01 UTC 2026","passed","Wed Jan 28 21:25:02 UTC 2026","Navigation Functionality","e2e/auth-navigation.spec.ts","",""
"","3782","Start a group chat","parallel","Wed Jan 28 21:25:23 UTC 2026","passed","Wed Jan 28 21:25:26 UTC 2026","Checking conversation actions done by conversation bar","e2e/conversation-actions.spec.ts","",""
"","15192","@Offline mode - Existing message should queue for deletion while offline","offline","Wed Jan 28 21:26:28 UTC 2026","passed","Wed Jan 28 21:26:43 UTC 2026","Offline Mode - Separated Scenarios","e2e/offline-mode-edge-cases.spec.ts","",""
"","2442","Signing up using existing email flow","parallel","Wed Jan 28 21:26:04 UTC 2026","passed","Wed Jan 28 21:26:07 UTC 2026","OTP processes - Sign up Functionality","e2e/otp-processes.spec.ts","",""
"","752","Navigation to non exist path","parallel","Wed Jan 28 21:25:01 UTC 2026","passed","Wed Jan 28 21:25:01 UTC 2026","Navigation Functionality","e2e/auth-navigation.spec.ts","",""
"","1197","@Login @Negative Missing credentials","parallel","Wed Jan 28 21:25:43 UTC 2026","passed","Wed Jan 28 21:25:44 UTC 2026","Login Functionality","e2e/login-validations.spec.ts","",""
"","3254","Forgot My Password","parallel","Wed Jan 28 21:26:01 UTC 2026","passed","Wed Jan 28 21:26:04 UTC 2026","OTP processes - Forgot Password Functionality","e2e/otp-processes.spec.ts","",""
"","9982","@Offline mode - Multiple messages should queue in order","offline","Wed Jan 28 21:26:43 UTC 2026","passed","Wed Jan 28 21:26:53 UTC 2026","Offline Mode - Separated Scenarios > Queue Depth Scenario","e2e/offline-mode-edge-cases.spec.ts","",""
"","6803","setup - skgladiator3@gmail.com","setup","Wed Jan 28 21:24:29 UTC 2026","passed","Wed Jan 28 21:24:36 UTC 2026","Login Functionality","utils/global.setup.ts","",""
"","4618","setup - skgladiator5@gmail.com","setup","Wed Jan 28 21:24:41 UTC 2026","passed","Wed Jan 28 21:24:46 UTC 2026","Login Functionality","utils/global.setup.ts","",""
"","3464","@Offline mode - @Navigate to locations page","offline","Wed Jan 28 21:26:19 UTC 2026","passed","Wed Jan 28 21:26:23 UTC 2026","Offline Mode - Separated Scenarios","e2e/offline-mode-edge-cases.spec.ts","",""
"","4155","Forgot My Password - Fake account - Mimic code sending","parallel","Wed Jan 28 21:25:53 UTC 2026","passed","Wed Jan 28 21:25:57 UTC 2026","OTP processes - Forgot Password Functionality","e2e/otp-processes.spec.ts","",""
"","11976","Sending - Recieving - Deleting messages flow","chat-serial","Wed Jan 28 21:27:18 UTC 2026","passed","Wed Jan 28 21:27:30 UTC 2026","Chat Messages Functionality","e2e/chat-messages.spec.ts","",""
"","8086","Online users indicator test","parallel","Wed Jan 28 21:26:07 UTC 2026","passed","Wed Jan 28 21:26:15 UTC 2026","Presence Functionality","e2e/presence.spec.ts","",""
"","1797","Navigation to secured chat page with fake token","parallel","Wed Jan 28 21:24:59 UTC 2026","passed","Wed Jan 28 21:25:01 UTC 2026","Navigation Functionality","e2e/auth-navigation.spec.ts","",""
"","3711","@Offline mode - @Navigate to chat page","offline","Wed Jan 28 21:26:16 UTC 2026","passed","Wed Jan 28 21:26:19 UTC 2026","Offline Mode - Separated Scenarios","e2e/offline-mode-edge-cases.spec.ts","",""
"","7151","Delete conversation","parallel","Wed Jan 28 21:25:13 UTC 2026","passed","Wed Jan 28 21:25:20 UTC 2026","Checking conversation actions done by the dropdown","e2e/conversation-actions.spec.ts","",""
"","13828","@Notifications received while not online","chat-serial","Wed Jan 28 21:27:52 UTC 2026","passed","Wed Jan 28 21:28:05 UTC 2026","Chat Notifications Functionality > Offline notification test","e2e/chat-notifications.spec.ts","",""
"","7808","Sending a message that includes a file flow","chat-serial","Wed Jan 28 21:27:30 UTC 2026","passed","Wed Jan 28 21:27:38 UTC 2026","Chat Messages Functionality > File sending test with no bypass header","e2e/chat-messages.spec.ts","",""
"","919","@Login @Offline mode","parallel","Wed Jan 28 21:25:47 UTC 2026","passed","Wed Jan 28 21:25:48 UTC 2026","Login Functionality","e2e/login-validations.spec.ts","",""
"","4085","Forgot My Password - Wrong Code","parallel","Wed Jan 28 21:25:57 UTC 2026","passed","Wed Jan 28 21:26:01 UTC 2026","OTP processes - Forgot Password Functionality","e2e/otp-processes.spec.ts","",""
"","18299","@Offline mode - Messages should dissapear after refresh when cleaning history while offline","offline","Wed Jan 28 21:26:53 UTC 2026","passed","Wed Jan 28 21:27:11 UTC 2026","Offline Mode - Separated Scenarios > Conversation clean history","e2e/offline-mode-edge-cases.spec.ts","",""
"","10646","setup - shoham@gmail.com","setup","Wed Jan 28 21:24:18 UTC 2026","passed","Wed Jan 28 21:24:28 UTC 2026","Login Functionality","utils/global.setup.ts","",""
