"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2005","Signing up using existing email flow","parallel","Thu Jan 29 12:54:54 UTC 2026","passed","Thu Jan 29 12:54:56 UTC 2026","OTP processes - Sign up Functionality","e2e/otp-processes.spec.ts","",""
"","8285","Online users indicator test","parallel","Thu Jan 29 12:54:56 UTC 2026","passed","Thu Jan 29 12:55:05 UTC 2026","Presence Functionality","e2e/presence.spec.ts","",""
"","12808","@Notifications received while not online","chat-serial","Thu Jan 29 12:56:51 UTC 2026","passed","Thu Jan 29 12:57:04 UTC 2026","Chat Notifications Functionality > Offline notification test","e2e/chat-notifications.spec.ts","",""
"","2779","@Login @Negative Invalid format and credentials","parallel","Thu Jan 29 12:54:29 UTC 2026","passed","Thu Jan 29 12:54:32 UTC 2026","Login Functionality","e2e/login-validations.spec.ts","",""
"","4124","Forgot My Password - Email Validations","parallel","Thu Jan 29 12:54:41 UTC 2026","passed","Thu Jan 29 12:54:45 UTC 2026","OTP processes - Forgot Password Functionality","e2e/otp-processes.spec.ts","",""
"","3913","@Login @HappyPath Successful login for shoham@gmail.com","parallel","Thu Jan 29 12:54:12 UTC 2026","passed","Thu Jan 29 12:54:16 UTC 2026","Login Functionality","e2e/login-validations.spec.ts","",""
"","18185","@Offline mode - Messages should dissapear after refresh when cleaning history while offline","offline","Thu Jan 29 12:55:42 UTC 2026","passed","Thu Jan 29 12:56:00 UTC 2026","Offline Mode - Separated Scenarios > Conversation clean history","e2e/offline-mode-edge-cases.spec.ts","",""
"","996","@Login @Negative Missing credentials","parallel","Thu Jan 29 12:54:28 UTC 2026","passed","Thu Jan 29 12:54:29 UTC 2026","Login Functionality","e2e/login-validations.spec.ts","",""
"","1166","Navigate back from non exist path by go back button","parallel","Thu Jan 29 12:53:47 UTC 2026","passed","Thu Jan 29 12:53:48 UTC 2026","Navigation Functionality","e2e/auth-navigation.spec.ts","",""
"","3649","setup - skgladiator5@gmail.com","setup","Thu Jan 29 12:53:31 UTC 2026","passed","Thu Jan 29 12:53:35 UTC 2026","Login Functionality","utils/global.setup.ts","",""
"","4477","setup - skgladiator3@gmail.com","setup","Thu Jan 29 12:53:23 UTC 2026","passed","Thu Jan 29 12:53:27 UTC 2026","Login Functionality","utils/global.setup.ts","",""
"","752","Allow navigation to non secured about path without login","parallel","Thu Jan 29 12:53:42 UTC 2026","passed","Thu Jan 29 12:53:43 UTC 2026","Navigation Functionality","e2e/auth-navigation.spec.ts","",""
"","2717","Start single participant chat","parallel","Thu Jan 29 12:54:06 UTC 2026","passed","Thu Jan 29 12:54:09 UTC 2026","Checking conversation actions done by conversation bar","e2e/conversation-actions.spec.ts","",""
"","4220","@Login @HappyPath Successful login for skgladiator3@gmail.com","parallel","Thu Jan 29 12:54:16 UTC 2026","passed","Thu Jan 29 12:54:20 UTC 2026","Login Functionality","e2e/login-validations.spec.ts","",""
"","2601","Start a group chat","parallel","Thu Jan 29 12:54:09 UTC 2026","passed","Thu Jan 29 12:54:12 UTC 2026","Checking conversation actions done by conversation bar","e2e/conversation-actions.spec.ts","",""
"","1866","Leaving room successfuly","parallel","Thu Jan 29 12:53:48 UTC 2026","passed","Thu Jan 29 12:53:50 UTC 2026","Checking conversation actions done by the dropdown","e2e/conversation-actions.spec.ts","",""
"","4322","setup - shoham@gmail.com","setup","Thu Jan 29 12:53:17 UTC 2026","passed","Thu Jan 29 12:53:21 UTC 2026","Login Functionality","utils/global.setup.ts","",""
"","11252","Sending - Recieving - Deleting messages flow","chat-serial","Thu Jan 29 12:56:08 UTC 2026","passed","Thu Jan 29 12:56:19 UTC 2026","Chat Messages Functionality","e2e/chat-messages.spec.ts","",""
"","5285","@Offline mode - Message should queue and send when back online","offline","Thu Jan 29 12:55:12 UTC 2026","passed","Thu Jan 29 12:55:17 UTC 2026","Offline Mode - Separated Scenarios","e2e/offline-mode-edge-cases.spec.ts","",""
"","3449","Navigation and Logout Flow","parallel","Thu Jan 29 12:53:35 UTC 2026","passed","Thu Jan 29 12:53:39 UTC 2026","Navigation Functionality > Navigation tests reqiered login","e2e/auth-navigation.spec.ts","",""
"","6667","@Offline mode - Conversation should dissapear when deleting it while offline","offline","Thu Jan 29 12:56:00 UTC 2026","passed","Thu Jan 29 12:56:07 UTC 2026","Offline Mode - Separated Scenarios > Conversation delete","e2e/offline-mode-edge-cases.spec.ts","",""
"","553","Navigation to non exist path","parallel","Thu Jan 29 12:53:46 UTC 2026","passed","Thu Jan 29 12:53:47 UTC 2026","Navigation Functionality","e2e/auth-navigation.spec.ts","",""
"","8837","Clean room history","parallel","Thu Jan 29 12:53:50 UTC 2026","passed","Thu Jan 29 12:53:59 UTC 2026","Checking conversation actions done by the dropdown","e2e/conversation-actions.spec.ts","",""
"","16745","@Offline mode - Existing message should queue for deletion while offline","offline","Thu Jan 29 12:55:17 UTC 2026","passed","Thu Jan 29 12:55:34 UTC 2026","Offline Mode - Separated Scenarios","e2e/offline-mode-edge-cases.spec.ts","",""
"","765","@Login @Offline mode","parallel","Thu Jan 29 12:54:32 UTC 2026","passed","Thu Jan 29 12:54:33 UTC 2026","Login Functionality","e2e/login-validations.spec.ts","",""
