"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14058","Sending - Recieving - Deleting messages flow","chat-serial","Sat Feb 07 20:11:44 UTC 2026","passed","Sat Feb 07 20:11:58 UTC 2026","Chat Messages Functionality","e2e/chat-messages.spec.ts","",""
"","4105","@Login @HappyPath Successful login for skgladiator4@gmail.com","parallel","Sat Feb 07 20:09:57 UTC 2026","passed","Sat Feb 07 20:10:01 UTC 2026","Login Functionality","e2e/login-validations.spec.ts","",""
"","3407","Start a group chat","parallel","Sat Feb 07 20:09:45 UTC 2026","passed","Sat Feb 07 20:09:48 UTC 2026","Checking conversation actions done by conversation bar","e2e/conversation-actions.spec.ts","",""
"","798","Navigation to secured chat page without login","parallel","Sat Feb 07 20:09:21 UTC 2026","passed","Sat Feb 07 20:09:21 UTC 2026","Navigation Functionality","e2e/auth-navigation.spec.ts","",""
"","4092","@Login @HappyPath Successful login for shoham@gmail.com","parallel","Sat Feb 07 20:09:48 UTC 2026","passed","Sat Feb 07 20:09:52 UTC 2026","Login Functionality","e2e/login-validations.spec.ts","",""
"","883","Navigation to secured locations page without login","parallel","Sat Feb 07 20:09:21 UTC 2026","passed","Sat Feb 07 20:09:22 UTC 2026","Navigation Functionality","e2e/auth-navigation.spec.ts","",""
"","4296","setup - shoham@gmail.com","setup","Sat Feb 07 20:08:52 UTC 2026","passed","Sat Feb 07 20:08:56 UTC 2026","Login Functionality","utils/global.setup.ts","",""
"","4240","@Login @HappyPath Successful login for skgladiator3@gmail.com","parallel","Sat Feb 07 20:09:52 UTC 2026","passed","Sat Feb 07 20:09:57 UTC 2026","Login Functionality","e2e/login-validations.spec.ts","",""
"","6990","Delete conversation","parallel","Sat Feb 07 20:09:35 UTC 2026","passed","Sat Feb 07 20:09:42 UTC 2026","Checking conversation actions done by the dropdown","e2e/conversation-actions.spec.ts","",""
"","1068","Navigation to secured chat page with fake token","parallel","Sat Feb 07 20:09:22 UTC 2026","passed","Sat Feb 07 20:09:23 UTC 2026","Navigation Functionality","e2e/auth-navigation.spec.ts","",""
"","1084","@Login @Offline mode","parallel","Sat Feb 07 20:10:10 UTC 2026","passed","Sat Feb 07 20:10:11 UTC 2026","Login Functionality","e2e/login-validations.spec.ts","",""
"","3570","Navigate back from non exist path by back to chat button","parallel","Sat Feb 07 20:09:15 UTC 2026","passed","Sat Feb 07 20:09:19 UTC 2026","Navigation Functionality > Navigation tests reqiered login","e2e/auth-navigation.spec.ts","",""
"","4831","@Offline mode - Message should queue and send when back online","offline","Sat Feb 07 20:10:45 UTC 2026","passed","Sat Feb 07 20:10:49 UTC 2026","Offline Mode - Separated Scenarios","e2e/offline-mode-edge-cases.spec.ts","",""
"","698","Allow navigation to non secured contact path without login","parallel","Sat Feb 07 20:09:20 UTC 2026","passed","Sat Feb 07 20:09:21 UTC 2026","Navigation Functionality","e2e/auth-navigation.spec.ts","",""
"","6715","@Offline mode - Conversation should dissapear when deleting it while offline","offline","Sat Feb 07 20:11:36 UTC 2026","passed","Sat Feb 07 20:11:43 UTC 2026","Offline Mode - Separated Scenarios > Conversation delete","e2e/offline-mode-edge-cases.spec.ts","",""
"","4983","Forgot My Password - Wrong Code","parallel","Sat Feb 07 20:10:18 UTC 2026","passed","Sat Feb 07 20:10:23 UTC 2026","OTP processes - Forgot Password Functionality","e2e/otp-processes.spec.ts","",""
