"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","822","Navigation to secured locations page without login","parallel","Fri Jan 30 00:50:02 UTC 2026","passed","Fri Jan 30 00:50:03 UTC 2026","Navigation Functionality","e2e/auth-navigation.spec.ts","",""
"","2286","Navigate back from non exist path by go back button","parallel","Fri Jan 30 00:50:04 UTC 2026","passed","Fri Jan 30 00:50:07 UTC 2026","Navigation Functionality","e2e/auth-navigation.spec.ts","",""
"","4691","Forgot My Password","parallel","Fri Jan 30 00:50:57 UTC 2026","passed","Fri Jan 30 00:51:02 UTC 2026","OTP processes - Forgot Password Functionality","e2e/otp-processes.spec.ts","",""
"","956","Navigation to secured chat page without login","parallel","Fri Jan 30 00:50:01 UTC 2026","passed","Fri Jan 30 00:50:02 UTC 2026","Navigation Functionality","e2e/auth-navigation.spec.ts","",""
"","2792","@Login @Negative Invalid format and credentials","parallel","Fri Jan 30 00:50:43 UTC 2026","passed","Fri Jan 30 00:50:46 UTC 2026","Login Functionality","e2e/login-validations.spec.ts","",""
"","3778","Navigation and Logout Flow","parallel","Fri Jan 30 00:49:52 UTC 2026","passed","Fri Jan 30 00:49:56 UTC 2026","Navigation Functionality > Navigation tests reqiered login","e2e/auth-navigation.spec.ts","",""
"","4515","setup - skgladiator5@gmail.com","setup","Fri Jan 30 00:49:47 UTC 2026","passed","Fri Jan 30 00:49:52 UTC 2026","Login Functionality","utils/global.setup.ts","",""
"","3190","@Offline mode - @Navigate to locations page","offline","Fri Jan 30 00:51:16 UTC 2026","passed","Fri Jan 30 00:51:19 UTC 2026","Offline Mode - Separated Scenarios","e2e/offline-mode-edge-cases.spec.ts","",""
"","4189","Forgot My Password - Wrong Code","parallel","Fri Jan 30 00:50:53 UTC 2026","passed","Fri Jan 30 00:50:57 UTC 2026","OTP processes - Forgot Password Functionality","e2e/otp-processes.spec.ts","",""
"","787","Allow navigation to non secured contact path without login","parallel","Fri Jan 30 00:50:00 UTC 2026","passed","Fri Jan 30 00:50:01 UTC 2026","Navigation Functionality","e2e/auth-navigation.spec.ts","",""
"","3794","@Login @HappyPath Successful login for skgladiator3@gmail.com","parallel","Fri Jan 30 00:50:31 UTC 2026","passed","Fri Jan 30 00:50:35 UTC 2026","Login Functionality","e2e/login-validations.spec.ts","",""
"","10454","@Offline mode - Multiple messages should queue in order","offline","Fri Jan 30 00:51:40 UTC 2026","passed","Fri Jan 30 00:51:51 UTC 2026","Offline Mode - Separated Scenarios > Queue Depth Scenario","e2e/offline-mode-edge-cases.spec.ts","",""
"","5217","@Offline mode - Message should queue and send when back online","offline","Fri Jan 30 00:51:19 UTC 2026","passed","Fri Jan 30 00:51:24 UTC 2026","Offline Mode - Separated Scenarios","e2e/offline-mode-edge-cases.spec.ts","",""
"","8585","Sending a message that includes a file flow","chat-serial","Fri Jan 30 00:52:29 UTC 2026","passed","Fri Jan 30 00:52:38 UTC 2026","Chat Messages Functionality > File sending test with no bypass header","e2e/chat-messages.spec.ts","",""
"","4311","@Login @HappyPath Successful login for shoham@gmail.com","parallel","Fri Jan 30 00:50:27 UTC 2026","passed","Fri Jan 30 00:50:31 UTC 2026","Login Functionality","e2e/login-validations.spec.ts","",""
"","2395","Start single participant chat","parallel","Fri Jan 30 00:50:22 UTC 2026","passed","Fri Jan 30 00:50:24 UTC 2026","Checking conversation actions done by conversation bar","e2e/conversation-actions.spec.ts","",""
"","7767","Online users indicator test","parallel","Fri Jan 30 00:51:04 UTC 2026","passed","Fri Jan 30 00:51:12 UTC 2026","Presence Functionality","e2e/presence.spec.ts","",""
"","925","Navigation to secured chat page with fake token","parallel","Fri Jan 30 00:50:03 UTC 2026","passed","Fri Jan 30 00:50:04 UTC 2026","Navigation Functionality","e2e/auth-navigation.spec.ts","",""
"","651","Navigation to non exist path","parallel","Fri Jan 30 00:50:04 UTC 2026","passed","Fri Jan 30 00:50:04 UTC 2026","Navigation Functionality","e2e/auth-navigation.spec.ts","",""
